budget,revenue,original_title,homepage,director,runtime,genres,vote_average,release_year
150000000,1513528810,Jurassic World,1,Colin Trevorrow,124,Action|Adventure|Science Fiction|Thriller,6.5,2015
150000000,378436354,Mad Max: Fury Road,1,George Miller,120,Action|Adventure|Science Fiction|Thriller,7.1,2015
110000000,295238201,Insurgent,1,Robert Schwentke,119,Adventure|Science Fiction|Thriller,6.3,2015
200000000,2068178225,Star Wars: The Force Awakens,1,J.J. Abrams,136,Action|Adventure|Science Fiction|Fantasy,7.5,2015
190000000,1506249360,Furious 7,1,James Wan,137,Action|Crime|Thriller,7.3,2015
135000000,532950503,The Revenant,1,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,156,Western|Drama|Adventure|Thriller,7.2,2015
155000000,440603537,Terminator Genisys,1,Alan Taylor,125,Science Fiction|Action|Thriller|Adventure,5.8,2015
108000000,595380321,The Martian,1,Ridley Scott,141,Drama|Adventure|Science Fiction,7.6,2015
74000000,1156730962,Minions,1,Kyle Balda|Pierre Coffin,91,Family|Animation|Adventure|Comedy,6.5,2015
175000000,853708609,Inside Out,1,Pete Docter,94,Comedy|Animation|Family,8.0,2015
245000000,880674609,Spectre,1,Sam Mendes,148,Action|Adventure|Crime,6.2,2015
176000003,183987723,Jupiter Ascending,1,Lana Wachowski|Lilly Wachowski,124,Science Fiction|Fantasy|Action|Adventure,5.2,2015
15000000,36869414,Ex Machina,1,Alex Garland,108,Drama|Science Fiction,7.6,2015
88000000,243637091,Pixels,1,Chris Columbus,105,Action|Comedy|Science Fiction,5.8,2015
280000000,1405035767,Avengers: Age of Ultron,1,Joss Whedon,141,Action|Adventure|Science Fiction,7.4,2015
44000000,155760117,The Hateful Eight,1,Quentin Tarantino,167,Crime|Drama|Mystery|Western,7.4,2015
48000000,325771424,Taken 3,1,Olivier Megaton,109,Crime|Action|Thriller,6.1,2015
130000000,518602163,Ant-Man,1,Peyton Reed,115,Science Fiction|Action|Adventure,7.0,2015
95000000,542351353,Cinderella,0,Kenneth Branagh,112,Romance|Fantasy|Family|Drama,6.8,2015
160000000,650523427,The Hunger Games: Mockingjay - Part 2,1,Francis Lawrence,136,War|Adventure|Science Fiction,6.5,2015
190000000,209035668,Tomorrowland,1,Brad Bird,130,Action|Family|Science Fiction|Adventure|Mystery,6.2,2015
30000000,91709827,Southpaw,0,Antoine Fuqua,123,Action|Drama,7.3,2015
110000000,470490832,San Andreas,1,Brad Peyton,114,Action|Drama|Thriller,6.1,2015
40000000,569651467,Fifty Shades of Grey,1,Sam Taylor-Johnson,125,Drama|Romance,5.3,2015
28000000,133346506,The Big Short,1,Adam McKay,130,Comedy|Drama,7.3,2015
150000000,682330139,Mission: Impossible - Rogue Nation,1,Christopher McQuarrie,131,Action,7.1,2015
68000000,215863606,Ted 2,0,Seth MacFarlane,115,Comedy,6.3,2015
81000000,403802136,Kingsman: The Secret Service,1,Matthew Vaughn,130,Crime|Comedy|Action|Adventure,7.6,2015
20000000,88346473,Spotlight,1,Tom McCarthy,128,Drama|Thriller|History,7.8,2015
61000000,311256926,Maze Runner: The Scorch Trials,1,Wes Ball,132,Action|Science Fiction|Thriller,6.4,2015
49000000,102069268,Chappie,1,Neill Blomkamp,120,Crime|Action|Science Fiction,6.6,2015
29000000,287506194,Pitch Perfect 2,0,Elizabeth Banks,115,Comedy|Music,6.8,2015
40000000,162610473,Bridge of Spies,0,Steven Spielberg,141,Thriller|Drama,7.1,2015
58000000,150170815,Goosebumps,1,Rob Letterman,103,Adventure|Horror|Comedy,6.2,2015
6000000,35401758,Room,1,Lenny Abrahamson,117,Drama|Thriller,8.0,2015
175000000,331926147,The Good Dinosaur,1,Peter Sohn,93,Adventure|Animation|Comedy|Family|Fantasy,6.6,2015
50000000,71561644,Run All Night,0,Jaume Collet-Serra,114,Action|Crime|Drama|Mystery|Thriller,6.3,2015
11000000,62076141,Brooklyn,1,John Crowley,111,Drama|Romance,7.3,2015
28000000,201634991,Straight Outta Compton,1,F. Gary Gray,147,Drama|Music,7.7,2015
90000000,140396650,The Last Witch Hunter,1,Breck Eisner,106,Fantasy|Action|Adventure,5.6,2015
30000000,34441873,Steve Jobs,1,Danny Boyle,122,History|Drama,6.9,2015
75000000,108145109,The Man from U.N.C.L.E.,0,Guy Ritchie,116,Comedy|Action|Adventure,7.0,2015
25000000,42629776,The Age of Adaline,1,Lee Toland Krieger,112,Fantasy|Drama|Romance,7.3,2015
10000000,14333790,Hardcore Henry,1,Ilya Naishuller,97,Action|Adventure|Science Fiction,5.9,2015
135000000,368871007,Home,1,Tim Johnson,94,Fantasy|Comedy|Animation|Science Fiction|Family,6.9,2015
12000000,85512300,Paper Towns,0,Jake Schreier,109,Drama|Mystery|Romance,6.2,2015
4000000,9064511,The Lobster,1,Yorgos Lanthimos,118,Thriller|Comedy|Drama|Romance|Science Fiction,6.6,2015
11800000,40272135,Carol,1,Todd Haynes,118,Romance|Drama,7.1,2015
35000000,194564672,The Intern,1,Nancy Meyers,121,Comedy,7.1,2015
55000000,203427584,Everest,1,Baltasar KormÃ¡kur,121,Adventure|Drama,6.7,2015
60000000,101134059,Joy,1,David O. Russell,124,Comedy|Drama,6.4,2015
105000000,133718711,Point Break,1,Ericson Core,114,Action|Crime|Thriller,5.5,2015
20000000,36606743,Burnt,1,John Wells,100,Drama,6.3,2015
26000000,30523226,Self/less,1,Tarsem Singh,116,Science Fiction|Mystery|Thriller,6.2,2015
60000000,30418560,Mortdecai,1,David Koepp,106,Comedy|Adventure,5.3,2015
15000000,64191523,The Danish Girl,0,Tom Hooper,120,Drama,7.3,2015
70000000,17752940,Blackhat,1,Michael Mann,133,Mystery|Crime|Action|Thriller|Drama,5.0,2015
30000000,84025816,Sicario,0,Denis Villeneuve,121,Action|Crime|Drama|Mystery|Thriller,7.1,2015
120000001,167977596,Fantastic Four,1,Josh Trank,100,Action|Adventure|Science Fiction,4.4,2015
3500000,40423945,The Witch,1,Robert Eggers,92,Mystery|Horror,5.8,2015
65000000,235666219,Spy,1,Paul Feig,120,Action|Comedy|Crime,6.9,2015
50100000,153962963,Focus,1,Glenn Ficarra|John Requa,105,Romance|Comedy|Crime|Drama,6.7,2015
35000000,82347656,Hitman: Agent 47,1,Aleksander Bach,96,Action|Crime|Thriller,5.5,2015
100000000,93820758,In the Heart of the Sea,1,Ron Howard,122,Thriller|Drama|Adventure|Action|History,6.4,2015
35000000,137935567,Creed,1,Ryan Coogler,133,Drama,7.3,2015
35000000,140795793,Trainwreck,0,Judd Apatow,125,Comedy,6.1,2015
13000000,32848185,Eye in the Sky,0,Gavin Hood,102,Drama|Thriller|War,7.2,2015
25000000,42972994,Legend,1,Brian Helgeland,131,Crime|Thriller,6.7,2015
150000000,128388320,Pan,0,Joe Wright,111,Adventure|Family|Fantasy,5.9,2015
99000000,246233113,The Peanuts Movie,1,Steve Martino,88,Adventure|Animation|Comedy|Family,6.4,2015
35000000,48623572,Concussion,1,Peter Landesman,123,Drama,6.9,2015
25000000,52395996,The Night Before,1,Jonathan Levine,100,Comedy,6.1,2015
2500000,5214043,Knock Knock,1,Eli Roth,99,Drama|Horror|Thriller,4.8,2015
34000000,63013281,The Longest Ride,0,"George Tillman, Jr.",128,Romance|Drama,7.3,2015
80000000,466183544,Hotel Transylvania 2,0,Genndy Tartakovsky,89,Animation|Comedy|Family,6.8,2015
17000000,24000000,Love the Coopers,1,Jessie Nelson,107,Family|Comedy,5.3,2015
35000000,61181942,The Walk,1,Robert Zemeckis,123,Adventure|Drama|Thriller,6.8,2015
11000000,1863315,Tracers,1,Daniel Benmayor,94,Action|Crime|Drama,5.9,2015
31000000,104384188,Vacation,0,John Francis Daley|Jonathan M. Goldstein,99,Adventure|Comedy,6.1,2015
35000000,95437994,Poltergeist,0,Gil Kenan,93,Horror|Thriller,5.0,2015
4000000,187112,Maggie,1,Henry Hobson,95,Horror,5.1,2015
50000000,3324330,Child 44,0,Daniel Espinosa,137,Crime|Thriller,5.9,2015
5000000,58978653,The Gift,1,Joel Edgerton,108,Thriller|Mystery,6.6,2015
50000000,240360392,Daddy's Home,1,Sean Anders,96,Comedy,5.7,2015
64000000,97571250,The Little Prince,1,Mark Osborne,92,Adventure|Animation|Fantasy,7.5,2015
11930000,18340000,The Dressmaker,1,Jocelyn Moorhouse,118,Drama,6.9,2015
8500000,43528634,The DUFF,1,Ari Sandel,100,Romance|Comedy,6.8,2015
10000000,52882018,Sinister 2,1,Ciaran Foy,97,Horror,5.5,2015
30000000,107597242,Paul Blart: Mall Cop 2,0,Andy Fickman,94,Action|Adventure|Comedy|Family,5.3,2015
4000000,50163103,The Boy Next Door,1,Rob Cohen,91,Thriller,3.9,2015
30000000,49263404,Entourage,0,Doug Ellin,104,Comedy,6.2,2015
23000000,79799880,The Wedding Ringer,0,Jeremy Garelick,101,Comedy,6.5,2015
15000000,14860766,Scouts Guide to the Zombie Apocalypse,1,Christopher B. Landon,93,Comedy|Horror,6.2,2015
5000000,98450062,The Visit,1,M. Night Shyamalan,94,Horror|Thriller,5.9,2015
53000000,99775678,Black Mass,0,Scott Cooper,122,Crime|Drama,6.3,2015
8900000,50136,Heist,0,Scott Mann,93,Crime|Action|Thriller,5.4,2015
15000000,61548707,Krampus,1,Michael Dougherty,98,Horror|Comedy|Fantasy,5.9,2015
20000000,208588,Dark Places,1,Gilles Paquet-Brenner,113,Drama|Mystery|Thriller,5.7,2015
5000000,54418872,No Escape,1,John Erick Dowdle,103,Action|Thriller,6.7,2015
700000,17986781,Dope,1,Rick Famuyiwa,103,Crime|Drama|Comedy,7.3,2015
28000000,28208085,American Ultra,0,Nima Nourizadeh,96,Comedy|Action,5.9,2015
11000000,61619773,Woman in Gold,1,Simon Curtis,120,Drama,7.3,2015
30000000,105011053,Sisters,1,Jason Moore,118,Comedy,5.9,2015
12000000,32248241,Project Almanac,1,Dean Israelite,106,Science Fiction|Thriller,6.3,2015
25000000,72629670,The Transporter Refueled,1,Camille Delamarre,96,Thriller|Action|Crime,5.3,2015
55000000,74679822,Crimson Peak,1,Guillermo del Toro,119,Mystery|Thriller|Fantasy|Horror|Drama,6.4,2015
14800000,122413057,Magic Mike XXL,0,Gregory Jacobs,115,Comedy|Drama|Music,6.3,2015
10000000,78099553,Paranormal Activity: The Ghost Dimension,0,Gregory Plotkin,88,Horror|Thriller,5.0,2015
15000000,8235661,Trumbo,0,Jay Roach,124,Drama,7.2,2015
19500000,32189727,Secret in Their Eyes,1,Billy Ray,111,Crime|Drama|Mystery,6.2,2015
74000000,311594032,The SpongeBob Movie: Sponge Out of Water,1,Paul Tibbitt,93,Family|Animation,5.7,2015
20000000,43967255,Max,0,Boaz Yakin,111,Adventure|Drama|Family,7.0,2015
40000000,10664749,The Gunman,0,Pierre Morel,115,Action|Drama|Crime,5.6,2015
1000000,62882090,Unfriended,0,Levan Gabriadze,82,Horror|Thriller,5.6,2015
35000000,51680201,Hot Pursuit,0,Anne Fletcher,87,Action|Crime|Comedy,5.5,2015
10000000,104303851,Insidious: Chapter 3,1,Leigh Whannell,97,Drama|Horror|Thriller,6.3,2015
6000000,41387687,The Lady in the Van,1,Nicholas Hytner,104,Comedy|Drama,5.9,2015
40000000,34227298,Victor Frankenstein,1,Paul McGuigan,109,Drama|Science Fiction|Thriller,5.5,2015
8000000,3759286,Anomalisa,1,Duke Johnson|Charlie Kaufman,90,Animation|Comedy|Drama|Romance,6.7,2015
2000000,1477002,The Diary of a Teenage Girl,0,Marielle Heller,102,Drama|Romance,6.8,2015
11000000,27391084,Irrational Man,1,Woody Allen,95,Mystery|Drama,6.1,2015
18000000,41325328,Ricki and the Flash,0,Jonathan Demme,100,Comedy|Drama|Music,5.5,2015
12000000,60273173,The Perfect Guy,1,David M. Rosenthal,100,Drama|Thriller,5.6,2015
10000000,7587485,While We're Young,0,Noah Baumbach,97,Drama|Comedy,5.9,2015
40000000,106511453,Get Hard,0,Etan Cohen,100,Comedy,5.9,2015
25000000,24902723,The 33,0,Patricia Riggen,120,History|Drama,5.8,2015
14000000,16002420,Suffragette,0,Sarah Gavron,106,Drama|History,7.1,2015
6000000,11122090,We Are Your Friends,0,Max Joseph,96,Drama|Music|Romance,6.2,2015
10000000,85978266,The Second Best Exotic Marigold Hotel,0,John Madden,122,Drama|Comedy,6.4,2015
20000000,6420319,Little Boy,1,Alejandro Monteverde,106,Comedy|Drama|War,7.1,2015
37000000,26250020,Aloha,0,Cameron Crowe,105,Adventure|Comedy|Romance,5.2,2015
28000000,7002261,Our Brand Is Crisis,0,David Gordon Green,108,Drama|Comedy,5.7,2015
7000000,573335,Freeheld,1,Peter Sollett,103,Romance|Drama,7.1,2015
3000000,695269,Love,1,Gaspar NoÃ©,134,Drama|Romance,4.7,2015
